BuscoID,BUSCO_LittleSkate,BUSCO_Chicken,BUSCO_Human,BUSCO_Mouse,BUSCO_ThornySkate,BUSCO_Zebrafish
291403at7742,chr5&43072375,chr3&63296036,,chr10&52417742,chr5&48341457,chr20&42224122
267121at7742,chr5&44933599,chr11&2494694,chr16&84124630,chr8&119564039,chr5&50394007,chr20&40762146
136018at7742,chr5&46801280,chr3&60216857,chr6&125025211,chr10&31496166,chr5&52274372,chr20&39749973
346606at7742,chr5&46919428,chr3&60126950,chr6&125276146,chr10&31313415,chr5&52405933,chr20&39685596
161484at7742,chr5&47336333,chr3&59791033,chr6&125986176,chr10&30535113,chr5&52806065,chr16&40043702
335129at7742,chr5&48253487,chr3&59269489,chr6&127289869,chr10&29313667,chr5&53736468,chr16&5239210
125985at7742,chr5&49596361,chr3&58113633,chr6&129578513,chr10&26832833,chr5&55159964,chr20&2047659
221391at7742,chr5&51652182,,chr6&47232765,chr17&43024357,chr5&57349555,chr20&35800620
337686at7742,chr5&52805139,chr3&110773296,chr2&75632187,chr6&81961941,chr5&58639698,chr20&25440905
270432at7742,chr5&54267596,chr3&109116687,chr6&44932599,chr17&44984126,chr5&60063513,chr17&5202013
109426at7742,chr5&54619970,chr3&108852976,chr6&44387824,,chr5&60417856,chr17&5061294
91759at7742,chr5&54699853,chr3&108801332,chr6&49431728,chr17&40934998,chr5&60501161,chr20&44373255
303403at7742,chr5&55715541,chr14&12447327,chr16&78310,chr11&32221709,chr5&61565539,chr3&55031942
11696at7742,chr5&57321494,chr3&104340995,chr2&27444432,chr5&31253335,chr5&63365810,chr20&38837358
386982at7742,chr5&57772412,chr3&104502293,chr2&27309912,chr5&31140487,,chr20&38674706
126446at7742,chr5&58093614,chr3&104532744,chr2&27326675,chr5&31157549,chr5&64229316,chr20&38544863
58421at7742,chr5&59655995,chr3&104751820,chr2&25742029,chr12&3427156,chr5&65837511,chr17&37163066
127929at7742,chr5&61048488,chr3&104443047,chr2&27033016,chr5&30869668,chr5&67259061,chr4&764437
53273at7742,chr5&61105027,chr3&104451464,chr2&27050324,chr5&30890166,chr5&67320302,chr4&747106
198672at7742,chr5&63300541,,chr2&18555191,chr12&10390840,chr5&69566182,chr13&32454398
37904at7742,chr5&63896895,chr3&101354992,chr2&19913558,chr12&8974156,chr5&70210040,chr13&32580630
391345at7742,chr5&64013558,chr3&101413710,chr2&20033205,chr12&8922184,chr5&70323009,chr20&43776844
291153at7742,chr5&64879223,chr3&101930930,chr2&20686903,chr12&8220602,,chr17&30751365
413390at7742,chr5&68256602,chr3&104172732,chr2&24050691,chr12&4817790,chr5&74814113,chr20&35433339
401756at7742,chr5&68482005,chr3&109845838,chr6&46744643,chr17&43534916,chr5&75037411,chr17&6597704
419468at7742,chr5&68687807,chr3&100204556,chr2&17816519,chr12&11208382,,chr4&303067
84817at7742,chr5&68721183,chr3&100172186,chr2&17759944,,chr5&75328853,chr4&288633
81669at7742,chr5&71128872,chr3&98936348,,chr12&13219498,chr5&77771563,chr20&33175224
6701at7742,chr5&71169659,chr3&98774986,chr2&15275124,chr12&13269094,chr5&77809342,chr20&32905833
135511at7742,chr5&74398411,chr3&96861650,chr2&10572071,chr12&17348554,chr5&81040382,chr17&51682576
130415at7742,chr5&74834980,chr23&5853438,chr1&24322435,chr4&135542659,chr27&14169373,chr17&26949122
169724at7742,chr5&74955400,chr3&96396291,chr2&9843542,chr12&24498632,chr5&81613209,chr20&29514491
322958at7742,chr5&75229664,chr3&96209833,chr2&9474567,chr12&21316432,chr5&81873558,chr17&35239940
377163at7742,chr5&76848243,chr3&94981486,chr2&6849850,chr12&26469433,chr5&83552779,chr17&35362885
326316at7742,chr5&76869215,chr3&94991681,chr2&6877801,chr12&26445406,chr5&83570959,chr17&35357985
122030at7742,chr5&78915439,chr3&93635193,chr2&3387576,chr12&28691315,chr5&85626767,chr17&51232606
337175at7742,chr5&78989934,chr3&93581758,,chr12&28815062,chr5&85704201,chr17&51262664
422508at7742,chr5&81201045,chr3&92124161,chr2&669580,chr12&30576406,chr5&88021131,chr23&35642426
299549at7742,chr5&81661467,chr3&91876256,chr2&218811,chr12&30911581,chr5&88529025,chr17&30605474
195017at7742,chr5&83569344,chr3&81459206,chr6&73595077,chr9&78538162,chr5&90550565,chr13&27298741
121142at7742,chr5&83633222,chr3&105746721,chr8&28093215,chr14&65544984,chr5&90631264,chr20&34671524
300443at7742,chr5&83799494,chr3&105798189,chr8&28445462,chr14&65284148,chr5&90802492,chr20&35247885
53153at7742,chr5&84105895,chr3&105996442,chr8&28716060,chr14&65054613,chr5&91170181,chr20&49941229
392649at7742,chr5&84374299,chr3&39086382,chr1&232950711,chr8&125734316,chr5&91457702,chr13&48748771
176414at7742,chr5&84421385,chr3&39152425,chr1&232805450,chr8&125669870,chr5&91518539,chr13&48759651
300899at7742,chr5&85116069,chr3&39755766,chr1&231527017,chr8&125013197,chr5&92176385,chr13&49154313
2503at7742,chr5&85637295,chr3&38019372,chr1&235643601,chr13&13607786,,
178102at7742,chr5&85735015,chr3&38124981,chr1&235450206,chr13&13965517,chr5&92839161,chr13&49775072
137854at7742,chr5&85760607,chr3&38148652,chr1&235381997,chr13&13998089,chr5&92869632,chr11&44607318
374963at7742,chr5&86013225,chr3&38280511,chr1&235131713,chr8&126949235,chr5&93129619,chr11&44622614
351113at7742,chr5&86482985,chr3&32128313,chr2&37084518,chr17&78835541,chr5&93798633,chr13&50233150
87783at7742,chr5&86667332,chr3&32249798,chr2&36729324,chr17&78565017,chr5&93988608,chr13&351166
131366at7742,chr5&86795825,,,,chr5&94105615,
426882at7742,chr5&86984788,chr3&40760783,chr1&231224279,chr8&124839834,chr5&94279481,chr20&4149551
182480at7742,chr5&87049484,chr3&39844598,chr1&231338384,chr8&124898158,chr5&94348679,chr20&4037252
102222at7742,chr5&87058518,chr3&39848360,chr1&231333348,chr8&124892041,chr5&94357860,chr20&4051861
276691at7742,chr5&87109077,chr3&46589650,chr6&145627416,chr10&11429029,chr5&94413516,chr23&1526672
117571at7742,chr5&87222082,,,,chr5&94525083,chr13&24070833
200462at7742,chr5&87281145,chr3&40401232,chr1&230323425,chr8&124370491,chr5&94587677,chr13&24023077
97588at7742,chr5&87328630,chr3&40511401,chr1&230642607,chr8&124520880,chr5&94652158,chr13&23996668
248028at7742,chr5&87516718,chr3&48221142,chr6&149505453,chr10&7792951,chr5&94814555,chr20&2983521
16779at7742,chr5&87586915,chr3&46689570,chr6&145886691,chr10&11151651,chr5&94895005,chr17&7539069
249652at7742,chr5&87588775,chr3&48306710,chr6&149726969,chr10&7667562,chr5&94892124,chr20&1316801
77231at7742,chr5&87751792,chr3&46644883,chr6&145800106,chr10&11289536,chr5&95024650,chr17&7622958
114807at7742,chr5&87965416,chr3&57527019,chr6&31740467,chr17&35028741,chr5&95232793,chr15&39935897
68016at7742,chr5&88632323,chr3&86776519,chr6&57123204,chr1&33762163,chr5&95902614,chr13&1406659
401745at7742,chr5&88696916,chr3&86762181,chr6&57172698,chr1&33746607,chr5&95953273,chr13&1405042
357329at7742,chr5&88726466,chr3&86746321,chr6&57190204,chr1&33723851,chr5&95978798,chr13&1386251
115007at7742,chr5&89997530,chr3&85733526,chr6&63280021,chr1&31186119,chr5&97338648,chr11&11263588
23457at7742,chr5&90205778,chr3&85592474,chr6&63641125,chr1&30803799,chr5&97502115,chr13&37656055
202512at7742,chr5&94030587,chr3&83099452,chr6&69676158,chr1&24678757,chr5&101506318,chr13&38622154
138435at7742,chr5&94992655,chr3&77564104,chr6&83859783,chr4&18844202,chr5&102563427,chr16&3067232
44653at7742,chr5&98639822,chr3&69023890,chr6&104729662,chr10&45578075,chr5&106445472,chr16&2355457
291326at7742,chr5&99782704,chr3&68247636,,chr10&44286090,,chr16&7381599
177937at7742,chr5&100151100,chr3&68102064,chr6&106629682,chr10&43874483,chr5&108167408,chr17&25564021
75874at7742,chr5&100500761,chr3&67974158,chr6&107068704,chr10&43493653,,chr13&32643099
235735at7742,chr5&100644168,chr3&67878111,,chr10&43326803,chr5&108746408,chr13&32660786
105032at7742,chr5&101174918,chr3&67569486,chr6&107860079,chr10&42761765,chr5&109338869,chr20&32501845
272432at7742,chr5&101313861,chr3&67542290,chr6&108044785,chr10&42678984,chr5&109515991,chr20&32463173
70359at7742,chr5&101792831,chr3&67151499,chr6&108848741,chr10&41917062,chr5&110044812,chr20&32231390
24868at7742,chr5&102119042,chr3&66860927,chr6&109493369,chr10&41316247,chr5&110532429,chr20&33708611
58280at7742,chr5&102285178,chr3&66783678,chr6&109705007,,chr5&110687816,
239772at7742,chr5&102400105,chr3&66710114,,chr10&40920276,chr5&110820429,
145683at7742,chr5&102495165,chr3&66629521,chr6&110180445,chr10&40833179,chr5&110914247,chr20&53368657
293761at7742,chr5&103438089,chr3&66301282,,chr10&40223741,chr5&112102128,chr20&151732
224267at7742,chr5&103861950,chr3&16850823,chr2&39741846,chr17&81026571,chr5&112676310,chr17&24623634
269700at7742,chr5&104589565,chr3&16200646,,chr2&20235045,chr5&113516295,chr17&22107988
227299at7742,chr5&104736250,chr3&3072723,chr2&110123791,chr2&127740916,chr5&113677112,chr17&22072479
299314at7742,chr5&105596477,chr3&90984422,chr8&1771055,chr8&14894688,chr5&114615299,chr17&25187691
68853at7742,chr6&454850,chr1&195106434,chr11&76446939,chr7&98590690,chr6&3912679,chr10&284379
403505at7742,chr6&853139,chr1&194367924,chr11&77839557,,,
119040at7742,chr6&1214854,chr1&195485292,chr11&75847363,chr7&98887890,,chr10&32324974
108553at7742,chr6&1768843,,chr11&72293367,chr7&101663811,chr6&8425836,chr15&47381459
358181at7742,chr6&2117909,chr1&195964104,chr11&74816968,chr7&99925302,chr6&8766998,chr15&4969202
321010at7742,chr6&2156772,chr1&195879214,chr11&74592659,chr7&100087772,chr6&8797073,chr21&21743738
315794at7742,chr6&2987284,chr4&52892882,chr4&124668987,chr3&38454044,chr1&5696270,chr22&16419612
73229at7742,chr6&7311622,chr1&141655855,chr13&108208533,chr8&9971043,chr6&14540942,chr1&29251152
255469at7742,chr6&7339364,chr1&141639193,chr13&108218179,chr8&9987405,chr6&14566158,chr9&5341243
280016at7742,chr6&8852079,chr1&173700817,chr13&36931630,chr3&54735584,chr6&16353626,chr10&34980511
315366at7742,chr6&8878121,chr1&173691671,chr13&37000806,chr3&54728778,chr6&16385349,chr10&35001474
434313at7742,chr6&9630487,chr1&172896715,chr17&35377410,chr3&45775933,,chr10&25942711
150697at7742,chr6&9974009,chr1&172566357,chr13&39011365,chr3&53464275,,chr10&24650850
333716at7742,chr6&10021785,chr1&172557441,chr13&39023079,chr3&53452397,chr6&17553031,chr10&304596
239682at7742,chr6&10459364,chr1&171849980,chr13&40729372,chr8&22412745,chr6&18036281,chr5&24138778
61105at7742,chr6&10662687,chr1&171770412,chr13&52377411,chr8&22238549,,chr10&24680056
273993at7742,chr6&10684547,chr1&171735097,chr13&52415830,chr8&22192871,chr6&18243549,chr10&24660225
317124at7742,chr6&11078955,chr1&126518304,chrX&9725936,chrX&152782043,chr6&18618751,
255423at7742,chr6&12428770,chr1&167058198,chr13&52652306,chr14&79590864,chr6&20368315,chr1&27976153
63922at7742,chr6&16092832,chr1&163198095,chr13&61411243,chr14&88467004,chr6&24671262,chr11&42915077
79715at7742,chr6&16467164,chr1&144193687,chr13&102846267,chr1&44148063,chr6&25080681,chr1&474287
398727at7742,chr6&16659518,chr1&144243114,chr13&102766154,chr1&44086890,chr6&25228883,chr9&27393545
174607at7742,chr6&16669303,chr1&84518158,chr3&113005536,chr16&44724363,chr6&25242341,chr9&27381586
332775at7742,chr6&17356945,chr1&184057926,chr11&102056000,chr9&8022416,chr6&26091564,chr21&22828674
293313at7742,chr6&18871226,chr3&104472011,chr2&27087260,chr5&30921916,chr6&27613882,chr17&12408460
120857at7742,chr6&19377954,,chr11&96075070,chr9&13601182,chr11&39052998,chr15&3894057
414653at7742,chr6&19998178,chr1&186783199,,chr9&14501924,chr6&28764440,chr5&23569730
360791at7742,chr6&20370407,chr1&186933356,chr11&94496694,chr9&14781150,chr6&29073637,chr15&2852160
140310at7742,chr6&20380837,chr1&186935871,chr11&94440880,chr9&14785509,,chr15&2857874
103731at7742,chr6&20941417,chr1&187092126,chr11&93784514,chr9&15260982,chr6&29645847,
48106at7742,chr6&20983913,chr1&187142284,chr11&93661639,chr9&15332899,chr6&29677807,chr15&420746
222957at7742,chr6&24094768,chr1&189543455,chr11&88278874,chr7&88278203,chr6&33101120,chr15&43587012
211842at7742,chr6&24600105,chr1&189834882,chr11&87282591,,,chr10&25313296
155795at7742,chr6&24918493,chr1&190013258,chr11&86938083,chr7&89404687,chr6&33936633,KN150617.1&66632
367717at7742,chr6&25260599,chr1&191773053,chr11&86302449,chr7&89918953,chr6&34314933,chr1&36849
203180at7742,chr6&25280400,chr1&191746131,chr11&86245272,,,chr1&27803
382456at7742,chr6&25661757,chr1&191530527,chr11&85647992,chrX&159569508,chr6&34747737,chr10&29270150
22275at7742,chr6&26541039,chr1&190407769,chr11&83157440,chr7&92644562,chr6&35659734,chr21&22879015
352847at7742,chr6&26638752,chr1&190338339,,chr7&92819991,chr6&35754569,chr15&11290642
345605at7742,chr6&29554141,chr1&133810847,chr2&99169375,chr1&37879268,chr6&38856965,chr9&7276299
396678at7742,chr6&29574171,chr1&133813732,chr2&99181261,,chr6&38874530,chr9&21824829
369390at7742,chr6&29595357,chr1&133849759,chr4&56742295,chr12&69106811,chr6&38892780,chr9&21820531
32511at7742,chr6&29706710,chr1&133893345,chr2&99401241,chr1&38053087,chr6&38987749,chr9&21787552
223375at7742,chr6&29883255,chr1&134409673,chr2&100393245,chr1&38865498,chr6&39162831,chr1&28031582
287723at7742,chr6&30243198,chr1&134748796,chr2&101253145,chr1&39536004,chr6&39519762,chr9&56235467
330054at7742,chr6&31225232,chr1&135338182,chr2&102710749,chr1&40773753,chr6&40509630,chr9&6937447
278895at7742,chr6&32862499,,,,,
243836at7742,chr6&32979738,chr1&136339139,chr2&105038093,chr1&42845004,chr6&42282244,chr6&14975797
75797at7742,chr6&33107742,chr1&136395955,chr2&105267383,chr1&43049659,chr6&42404253,chr6&15037090
382893at7742,chr6&33153692,chr1&136427124,chr2&105337588,chr1&43098764,chr6&42446284,chr9&6601889
211156at7742,chr6&33444925,chr1&136727946,chr2&106094026,chr1&43750231,chr6&42713622,chr9&6288037
154805at7742,chr6&34211230,chr1&137823933,chr2&108896907,chr10&58602862,chr6&43513741,chr9&56133636
304775at7742,chr6&36377565,chr1&182414225,chr11&106077711,chr9&4296675,chr6&45785315,chr15&44440234
140683at7742,chr6&36763989,chr1&181960650,chr11&107326910,chr9&3408898,chr6&46232595,chr15&44299085
122793at7742,chr6&36820549,chr1&181892939,chr11&107504658,chr9&3328457,chr6&46290870,chr16&42155126
106667at7742,chr6&36894204,chr1&182445913,chr11&106052850,chr9&4316851,chr6&46383228,chr15&47833230
40997at7742,chr6&37157819,chr1&181650846,chr11&108158942,chr9&53537152,chr6&46645596,chr15&25528441
285488at7742,chr6&39120942,chr1&180188530,chr13&20404129,chr14&57275449,chr6&48674535,chr9&21383738
79344at7742,chr6&39174906,chr1&180137983,chr13&20579268,chr14&57430544,chr6&48726334,chr9&21361275
387408at7742,chr6&39248245,chr1&180126997,chr13&20729080,chr14&57549743,chr6&48800945,chr9&21359229
35547at7742,chr6&39290936,chr1&180062027,,,,chr9&21316767
397274at7742,chr6&39432706,chr1&179947566,chr13&21140610,,chr6&49012837,chr9&21267007
330064at7742,chr6&39459331,chr1&179931629,chr13&21155349,chr14&57807444,chr6&49030673,chr9&21258481
903at7742,chr6&40750606,chr1&178938146,chr13&23330136,chr14&61173205,chr6&50393814,chr15&9370988
145938at7742,chr6&41290957,chr1&178476496,chr13&25169604,chr14&60378358,chr6&50958882,chr24&25069753
107971at7742,chr6&41327060,chr1&178421366,chr13&25249232,chr14&60265338,,chr24&25032534
289598at7742,chr6&41355895,chr1&178384788,chr13&25301774,chr14&60219989,chr6&51029656,chr24&25008776
305344at7742,chr6&42332975,chr1&177590121,chr13&27435675,chr5&146955594,chr6&51968731,chr5&67974083
107107at7742,chr6&42798894,chr1&177274173,chr13&28157312,chr5&147519244,chr6&52413810,chr24&21720576
396665at7742,chr6&43963950,chr1&176417252,chr13&30736033,chr5&149265643,chr6&53639110,chr10&36458626
107720at7742,chr6&44622016,chr1&175900572,chr13&32316461,chr5&150522600,chr6&54321517,chr15&31909791
245611at7742,chr6&45527303,chr1&175227945,chr13&33818179,chr5&151642912,chr6&55220628,chr10&34024310
262790at7742,chr6&47277264,chr1&147857916,chr13&94601928,chr14&118137193,chr6&57024946,chr6&59985816
260439at7742,chr6&47332644,chr1&147878370,chr13&94574782,chr14&118097642,chr6&57080419,
94127at7742,chr6&57425250,chr1&152610983,chr13&83879417,chr14&108911187,chr6&67537070,chr1&4546227
176601at7742,chr6&62338231,chr1&154873200,chr13&78615580,chr14&104478767,chr6&72683501,chr6&4529039
817at7742,chr6&63833110,chr1&155571764,chr13&77041942,chr14&103105480,,chr9&17040086
258712at7742,chr6&63981182,chr1&155833372,chr13&76992039,chr14&103070346,chr6&74252841,chr9&16854121
139653at7742,chr6&65925261,chr1&157485583,chr13&72783470,chr14&99100778,chr6&76313239,chr1&34641764
190917at7742,chr6&66072524,chr1&157616836,chr13&72727843,chr14&99047316,,chr1&30723704
268420at7742,chr6&72927765,chr8&5470877,chr1&169792577,chr1&163996112,chr6&83531046,chr13&31390386
342286at7742,chr6&74082688,chr1&146064172,chr13&99254877,chr14&121911616,chr6&84697270,chr9&31089649
269163at7742,chr6&74188853,,,,,chr1&30540549
253661at7742,chr6&74506206,chr1&145752928,chr13&99839131,chr14&122351660,chr6&85115358,chr9&31204770
94359at7742,chr6&75091081,,chr13&100604994,chr14&122919995,chr6&85703686,chr9&31497978
12613at7742,chr6&75165765,chr1&144950451,,,,chr9&31589539
169126at7742,chr6&75406667,chr1&144803643,,,chr6&86009884,chr9&31752759
197883at7742,chr6&76022798,chr1&93900185,chr1&145608134,chr3&96871388,chr6&86624608,chr9&5898659
9579at7742,chr6&76200145,chr1&80037807,chr3&113647173,chr16&44184997,chr6&86812730,chr24&21182470
376151at7742,chr6&76222126,chr1&79997684,chr3&113715382,chr16&44140104,chr6&86838440,chr24&21169180
327369at7742,chr6&77333045,chr1&140454929,chr13&110615675,chr8&11497653,chr6&87917485,chr9&8899043
334381at7742,chr6&77407024,chr4&39812394,chr4&183505196,chr8&47659646,NW_022630695.1&44620,chr1&39981842
60870at7742,chr6&78085539,chr1&139263988,chr13&112485993,chr8&12615138,chr6&88639131,chr1&46405473
310011at7742,chr6&79791025,chr1&196379594,chr11&73377363,chr7&25416545,chr6&90334049,chr18&2603874
44104at7742,chr6&80524734,chr1&196053447,chr11&74029419,chr7&100363246,chr6&91047552,chr15&15251130
132010at7742,chr6&80693910,chr1&196016216,chr11&74267248,chr7&100285533,chr6&91211477,chr15&14676120
435429at7742,chr6&80804512,chr1&194303620,chr11&78069987,chr7&97400189,chr6&91338812,chr15&11427721
142074at7742,chr6&80816716,chr1&194292701,chr11&78100964,chr7&97369626,chr6&91354424,chr21&22892894
140367at7742,chr6&81371518,,chr2&98625566,chr1&37444659,chr6&91955441,chr9&7095952
345264at7742,chr6&81499003,chr1&133610663,chr2&98609709,chr1&37411641,chr6&92094849,chr6&3985153
432680at7742,chr6&81517989,chr1&133608893,chr2&98600752,chr1&37420586,chr6&92114784,chr9&7081732
104543at7742,chr6&85043141,chr1&131971214,chr15&27954783,chr7&56277349,,chr6&37864086
373281at7742,chr6&85580953,chr1&131748750,chr15&22806424,chr7&55967337,chr6&96618682,chr6&37745972
49776at7742,chr6&85742402,chr1&131653636,chr15&22999820,chr7&55794195,chr6&96785554,chr6&37625787
225646at7742,chr6&86045627,chr1&131506921,chrX&46837101,chrX&20364736,chr6&97064710,chr6&37515540
229590at7742,chr6&86311758,chr1&131359559,chrX&305074,chr5&110104021,chr6&97368647,chr6&37442177
365702at7742,chr6&89601454,chr15&10179841,chrX&3309716,chr3&59318466,chr2&25017989,chr5&12565535
264320at7742,chr7&59887,chr7&11020939,chr2&199933067,chr1&57388496,,chr9&24116889
102917at7742,chr7&2003195,chr9&540876,chr3&138197298,chr9&99495728,,chr9&27876154
161167at7742,chr7&2083904,chr9&611656,chr3&138161889,chr9&99575929,chr7&2656043,chr9&27860655
63198at7742,chr7&2212534,chr4&91054704,chr20&2840775,chr2&130424577,chr7&2782923,chr6&9090605
137629at7742,chr7&2357038,chr9&4523534,chr3&186551150,chr16&22818414,chr7&2931001,chr9&27741534
95166at7742,chr7&2460815,chr1&197561125,chr15&43328429,chr2&121138540,chr7&3146562,chr9&27720470
8757at7742,chr7&4215909,chr7&13813684,chr2&208271520,chr1&65179233,chr7&4985796,chr9&32074453
190989at7742,chr7&5381300,chr7&11974415,,chr7&13178903,chr27&30095870,chr6&9631183
21841at7742,chr7&6273281,chr3&80807502,chr6&75094151,chr9&79608416,chr8&60595084,
336790at7742,chr7&7630254,chr7&18928749,chr2&168871431,chr2&69194421,chr7&8655763,chr9&48819279
342301at7742,chr7&8235897,chr1&191548877,chr11&85668651,chr7&90426584,chr7&9334847,chr9&48376013
160770at7742,chr7&8552781,chr7&27987368,chr3&125083890,chr16&33533301,chr7&9711414,chr9&38642748
243425at7742,chr7&9044513,chr7&11009111,chr2&199911439,,chr7&10214400,chr9&24205382
22898at7742,chr7&10530604,chr7&10185278,chr2&197392303,chr1&54987334,chr7&11683550,chr9&32162265
73001at7742,chr7&10782872,chr7&10027482,chr2&196841234,chr1&54480706,chr7&11914770,chr9&24126223
70459at7742,chr7&10946795,chr7&9992734,chr2&196764563,,chr7&12070004,chr1&6244003
224692at7742,chr7&11621890,chr7&9647021,chr2&195678068,chr1&46809953,chr7&12780377,chr9&24930641
95927at7742,chr7&15394746,chr7&293226,chr2&189791810,chr1&53189334,chr7&16677515,chr9&40966318
245056at7742,chr7&15505617,chr7&341598,chr2&189750578,chr1&53310736,chr7&16791851,chr9&41040412
136457at7742,chr7&15630591,chr7&352612,chr2&189666133,chr1&53344730,chr7&16922450,chr9&41083301
100658at7742,chr7&15754413,chr7&428113,chr2&189441493,chr1&45795522,chr7&17039925,chr9&41120335
290213at7742,chr7&19227143,chr7&2232528,chr2&183128298,,chr7&20807846,chr9&12263380
62525at7742,chr7&19581082,chr7&13876599,chr2&182718087,chr2&80317396,chr7&21176219,chr9&44870478
46928at7742,chr7&20217357,chr7&14158132,chr2&181892067,chr2&79635540,chr7&21846003,
201876at7742,chr7&20479823,chr7&14267355,chr2&181538184,chr2&79332575,chr7&22145881,chr4&27919334
98464at7742,chr7&21608974,chr7&15032364,chr2&179109899,chr2&77187131,chr7&23343191,chr9&43150787
294082at7742,chr7&21875217,chr8&19269797,chr1&77914014,chr3&152237566,chr10&62727811,chr8&18518238
261158at7742,chr7&22183924,chr7&15406525,chr2&178453410,chr2&76650422,chr7&23953136,chr6&11412528
115042at7742,chr7&22733592,chr7&15718964,chr2&177413963,chr2&75832291,chr7&24463764,chr9&1589757
197724at7742,chr7&22861047,chr7&15814896,chr2&177230785,chr2&75675961,chr7&24617975,chr9&1650933
324567at7742,chr7&23465469,chr7&16208679,chr2&176311606,chr2&74847192,chr7&25222338,chr6&10872073
265531at7742,chr7&26749104,chr7&18673476,chr2&169479554,chr2&69647284,chr7&28604054,chr9&48284923
82448at7742,chr7&26786258,chr7&18627082,chr2&169529825,chr2&69687045,chr7&28643698,chr9&48239687
270327at7742,chr7&26834680,chr7&18617871,,,chr7&28703278,chr6&3692749
227544at7742,chr7&26920453,chr8&4633373,,chr8&75711593,chr7&28788985,chr9&48186660
152020at7742,chr7&26966039,chr7&18586811,chr2&169735015,chr2&69823788,chr7&28839410,chr9&48134394
279400at7742,chr7&26978708,chr7&18577037,,chr2&69863250,chr7&28839602,chr6&3717635
376681at7742,chr7&26990481,chr7&18573418,chr3&126623524,chr2&69871278,chr7&28861311,chr9&48123580
12004at7742,chr7&27026272,chr7&18479329,chr2&169869670,chr2&69897295,chr7&28899601,
145137at7742,chr7&28123251,chr7&18022132,chr2&171434578,chr2&71055994,chr7&30063502,chr9&3501224
74281at7742,chr7&28968080,chr7&27378650,chr3&123925388,chr16&34690658,chr7&30911067,chr6&9268961
103640at7742,chr7&31074578,chr7&36066562,chr2&156476106,chr2&57285618,,chr6&12380923
71963at7742,chr7&31382418,chr7&36181549,chr2&157258083,chr2&57998390,chr7&33359984,chr9&5207951
205835at7742,chr7&31644839,chr7&36313079,,,chr7&33660864,
184910at7742,chr7&32312280,chr7&36688343,chr2&159729023,chr2&60228930,,chr6&11781972
380303at7742,chr7&32840206,chr7&21453978,chr2&161211433,chr2&61613700,chr7&34889063,chr9&51521514
286295at7742,chr7&32945293,chr7&21376403,,chr2&61749664,chr7&34993619,chr11&10832441
385039at7742,chr7&35757522,chr7&2709489,chr10&103245997,chr1&66700907,chr7&37908348,chr9&24026349
159879at7742,chr7&35778874,chr7&6813404,chr21&46136987,chr10&76575706,chr7&37933819,chr22&12770906
16347at7742,chr7&36123146,chr7&6853871,chr21&46235268,chr10&76468860,chr7&38266263,chr9&38448946
400196at7742,chr7&36179852,chr7&6880818,chr21&46286914,chr10&76463233,chr7&38330012,
203960at7742,chr7&36872866,chr7&11777160,chr2&202265942,chr1&59685182,chr7&39101003,chr6&9664588
124028at7742,chr7&40570818,chr7&4368982,chr2&215312143,chr1&71557256,chr7&42839840,chr1&5485897
93231at7742,chr7&43595522,chr7&12036601,chr2&207891592,chr1&64869641,,chr9&28151242
273631at7742,chr7&44094424,chr7&12390902,chr2&206738483,chr1&63699009,chr7&46606285,chr1&6218788
34233at7742,chr7&44307013,chr7&5902068,chr2&233477392,chr1&87945638,chr7&46860585,chr6&8652857
80163at7742,chr7&44498673,chr7&11462600,chr2&201380543,chr1&58903504,chr7&47065539,chr6&4185107
165456at7742,chr7&45987567,chr7&6682721,chr21&45515658,chr10&77021973,chr7&48546216,chr6&20646201
414197at7742,chr7&46789746,chr7&7218277,,chr10&77488350,,chr22&12699390
207782at7742,chr7&47143827,chr7&6883084,chr21&45265482,chr10&77259323,chr7&49755305,chr9&40851088
300687at7742,chr7&47371905,chr7&12380255,chr2&206765188,chr1&63731487,chr7&49971402,chr1&6226108
142117at7742,chr7&48485373,chr7&11323220,chr2&200911301,chr1&58464204,chr7&51159714,
364611at7742,chr7&48546452,chr7&4618497,chr20&3276183,chr12&36090482,chr7&51255258,chr1&6648729
172631at7742,chr7&48977495,chr7&13668815,chr2&203239063,chr1&60343386,chr7&51683423,chr6&9952790
325125at7742,chr7&49377057,chr7&6003693,chr2&238415549,chr1&91540838,chr7&52088410,chr9&45673885
303740at7742,chr7&50565467,chr7&6560312,chr2&239988243,chr1&92445899,chr7&53271560,chr9&23740661
140588at7742,chr7&52122994,chr2&46118872,chr7&37850267,chr13&19650754,chr7&54927592,chr9&52411628
97786at7742,chr7&52752905,chr7&28207851,chr3&197960222,chr16&33058761,chr7&55574010,chr9&38502686
128562at7742,chr7&54713635,chr7&28878135,chr2&117920343,chr1&121431216,chr7&57528432,chr9&38353785
262798at7742,chr7&56687781,chr7&29638833,chr2&113717775,chr1&125561245,chr7&59528064,
234228at7742,chr7&57962681,chr7&30438623,chr2&134839662,chr1&127729486,chr7&60939292,chr9&23244762
51094at7742,chr7&58110067,chr7&30501375,chr2&135073825,chr1&127872659,chr7&61073466,
157863at7742,chr7&58638507,chr7&30683685,chr2&135907316,chr1&128366672,,chr9&10699406
202675at7742,chr7&64762124,chr7&33115224,chr2&143947052,,,chr9&25861159
212696at7742,chr7&67572369,chr7&34555582,chr2&147931821,chr2&48902526,chr7&70993119,chr6&1748532
